city,humidity,cloudiness,windspeed,long,lat,temp,max_temp
gunjur,50,0,2.1,-16.73,13.2,75.2,75.2
sombrerete,44,21,3.83,-103.65,23.63,62.114,62.114
yarada,63,0,2,83.27,17.65,75.776,75.776
marawi,91,2,2.24,124.29,8,73.994,73.994
waycross,55,90,3.6,-82.35,31.21,59.756,62.996
talhar,32,33,2.86,68.82,24.88,56.012,56.012
biak,78,100,3.42,122.88,-0.91,80.888,80.888
jamestown,85,90,8.2,-79.24,42.1,20.408,26.6
kieta,77,66,1.76,155.63,-6.22,81.14,81.14
puerto ayora,58,75,6.7,-90.35,-0.74,82.724,86
arraial do cabo,69,40,4.1,-42.03,-22.97,78.8,78.8
ostrovnoy,82,0,4.91,39.51,68.05,5.468,5.468
henties bay,87,0,1.34,14.28,-22.12,66.002,66.002
faanui,80,100,5.88,-151.75,-16.48,81.176,81.176
hasaki,56,20,1.5,140.83,35.73,31.082,33.8
alugan,85,15,8.61,125.48,12.22,78.062,78.062
tabou,86,66,2.18,-7.35,4.42,78.422,78.422
mataura,98,100,0.45,168.86,-46.19,55.994,55.994
kamenka,89,99,1.34,42.77,51.32,28.994,28.994
manadhoo,79,40,6.84,73.38,5.77,82.382,82.382
kapaa,57,75,6.7,-159.32,22.08,74.156,75.2
butaritari,77,0,4.74,172.79,3.07,84.344,84.344
smederevska palanka,86,90,1.89,20.96,44.37,32,32
pacific grove,66,1,1.58,-121.92,36.62,55.382,60.008
san jose,66,90,1.5,-121.89,37.34,53.366,57.992
umm kaddadah,27,1,6.43,26.69,13.6,58.316,58.316
elizabeth city,47,1,5.1,-76.25,36.29,52.862,57.2
bhinmal,37,55,1.35,72.25,25,50.558,50.558
punta arenas,47,40,14.4,-70.92,-53.15,57.11,57.2
torbay,72,75,1.5,-52.73,47.67,13.928,15.008
kloulklubed,83,75,2.6,134.26,7.04,77,77
guerrero negro,21,77,2.03,-114.06,27.98,72.806,72.806
tautira,66,20,3.6,-149.15,-17.73,86,86
san juan,20,68,6.62,-68.54,-31.54,101.102,101.102
nikolskoye,82,90,6,30.79,59.7,36.302,37.4
hobart,72,75,4.6,147.33,-42.88,58.226,60.008
najran,20,0,0.73,44.13,17.49,64.4,64.4
new norfolk,72,75,4.6,147.06,-42.78,58.208,60.008
lompoc,51,75,3.42,-120.46,34.64,61.736,68
port alfred,77,100,3.13,26.89,-33.59,66.992,66.992
kurilsk,79,100,2.81,147.88,45.23,22.46,22.46
klichka,100,89,0.92,118,50.45,-10.516,-10.516
albany,55,90,9.8,-73.97,42.6,30.2,35.996
rikitea,78,100,5.87,-134.97,-23.12,78.116,78.116
scottsbluff,36,1,4.6,-103.67,41.87,43.304,44.6
busselton,48,0,4.44,115.33,-33.65,59.216,60.998
pinheiro machado,50,94,4.02,-53.38,-31.58,84.992,84.992
abu samrah,95,15,2.56,37.18,35.3,42.08,42.08
georgetown,88,40,2.1,100.34,5.41,79.574,80.6
grindavik,80,75,13.4,-22.43,63.84,40.154,41
vanimo,79,100,7.49,141.3,-2.67,82.544,82.544
hithadhoo,72,100,3.36,73.08,-0.6,82.976,82.976
luis correia,83,75,4.1,-41.67,-2.88,82.4,82.4
talnakh,75,20,3,88.4,69.49,-18.4,-18.4
guanica,66,40,10.3,-66.91,17.97,81.05,84.992
dikson,92,81,3.55,80.55,73.51,-24.106,-24.106
chifeng,50,0,6.02,118.96,42.27,11.21,11.21
hermanus,99,100,1.79,19.23,-34.42,65.084,69.008
chokurdakh,97,100,1.35,147.92,70.63,-24.736,-24.736
pirawa,55,0,2.21,76.03,24.16,53.096,53.096
zapolyarnyy,83,40,6.2,30.81,69.42,-5.8,-5.8
matagami,70,1,4.6,-77.63,49.75,1.4,1.4
laguna de perlas,74,40,3.1,-83.67,12.34,84.2,84.2
beringovskiy,97,97,4.61,179.32,63.05,1.004,1.004
yellowknife,75,20,6.2,-114.35,62.46,-13,-13
tuktoyaktuk,74,5,2.6,-133.04,69.45,-22,-22
llata,63,85,3.79,-76.78,-9.42,52.286,52.286
cidreira,80,26,10.93,-50.21,-30.18,75.29,75.29
lagoa,78,97,11.92,-27.98,39.05,63.086,63.086
east london,78,100,8.95,27.91,-33.02,66.668,66.668
vardo,85,64,21.1,31.11,70.37,15.44,17.6
dudinka,75,20,3,86.18,69.41,-18.4,-18.4
puerto berrio,39,30,0.63,-74.4,6.49,95.126,95.126
peniche,62,0,4.1,-9.38,39.36,53.636,55.004
sungaipenuh,98,64,0.8,101.38,-2.08,62.618,62.618
north bend,82,1,2.1,-124.22,43.41,56.768,60.998
ukiah,66,1,2.1,-123.21,39.15,54.32,57.992
aleksandrov gay,94,100,4.4,48.57,50.15,28.922,28.922
zyryanskoye,94,100,3.99,86.63,56.83,-2.668,-2.668
gull lake,64,1,7.2,-108.48,50.1,-0.4,-0.4
jumla,67,0,2.71,82.18,29.27,12.632,12.632
qaanaaq,56,0,3.05,-69.36,77.48,-18.634,-18.634
yulara,31,0,4.6,130.99,-25.24,75.2,75.2
fenoarivo,88,75,1.5,47.44,-18.93,68,68
belaya gora,94,88,1.62,146.42,68.53,-26.68,-26.68
viedma,28,0,8.14,-63,-40.81,76.91,76.91
upernavik,82,79,4.1,-56.15,72.79,-15.736,-15.736
pecangakan,89,35,1.98,109.12,-6.93,76.352,76.352
saint-joseph,78,51,2.6,55.62,-21.37,76.082,80.6
tazovskiy,97,55,4.58,78.7,67.47,-26.05,-26.05
vanderhoof,96,100,1.12,-124.02,54.02,32.216,32.216
ponta do sol,72,40,6.7,-17.1,32.67,60.944,62.6
mahebourg,88,40,1.5,57.7,-20.41,80.762,80.996
saint george,34,1,1.22,-113.58,37.1,50.018,59
lasa,73,5,2.1,10.7,46.62,19.832,37.4
korla,83,1,4.02,86.15,41.76,14,14
jalu,56,33,2.65,21.55,29.03,57.29,57.29
kruisfontein,83,100,10.68,24.73,-34,61.736,61.736
borogontsy,98,91,1.16,131.17,62.67,-17.446,-17.446
owando,77,100,0.77,15.9,-0.48,76.964,76.964
binga,73,97,2.22,27.34,-17.62,81.266,81.266
mugla,74,100,1.5,28.36,37.23,40.91,44.6
samarai,79,73,1.92,150.67,-10.62,78.854,78.854
kutum,29,0,2.91,24.67,14.2,50.684,50.684
ugoofaaru,79,89,6.64,73,5.67,82.454,82.454
saint-pierre,78,51,2.6,55.48,-21.34,76.19,80.6
gravdal,69,75,13.85,13.5,68.12,37.4,37.4
tyukalinsk,99,5,2.34,72.2,55.87,-10.12,-10.12
ribeira grande,82,40,9.3,-28.7,38.52,64.4,64.4
bambous virieux,88,40,1.5,57.76,-20.34,80.762,80.996
slave lake,70,1,7.7,-114.77,55.28,-5.8,-5.8
sojat,37,9,3.83,73.67,25.92,52.088,52.088
alofi,83,75,3.6,-169.92,-19.06,82.4,82.4
bundaberg,83,40,4.6,152.35,-24.85,81.716,82.994
ulladulla,100,20,1,150.47,-35.35,66.29,69.008
sitka,90,90,8.7,-135.33,57.05,35.042,39.2
road town,78,40,6.2,-64.62,18.42,78.368,80.6
airai,72,0,2.41,125.41,-8.93,66.56,66.56
bhander,69,0,0.59,78.75,25.73,51.62,51.62
ramnagar,70,0,1.77,79.12,29.4,47.264,47.264
kurayoshi,70,75,2.6,133.82,35.43,44.6,44.6
vila franca do campo,88,40,6.7,-25.43,37.72,62.6,62.6
barmer,35,100,4.4,71.38,25.75,58.19,58.19
clyde river,74,20,3.1,-68.59,70.47,-25.6,-25.6
barrow,84,90,4.1,-156.79,71.29,3.2,3.2
kirakira,77,35,1.1,161.92,-10.45,79.448,79.448
kaseda,81,78,4.02,130.32,31.42,42.008,42.008
uyuni,35,82,4.2,-66.83,-20.46,66.758,66.758
lujiang,59,0,1,117.28,31.26,32,32
tura,77,58,0.45,90.22,25.52,60.35,60.35
nouadhibou,31,89,5.1,-17.03,20.93,73.4,73.4
salalah,60,75,0.5,54.09,17.02,75.2,75.2
shimoda,78,0,0.45,138.95,34.67,38.93,41
wanaka,73,26,0.45,169.15,-44.7,64.994,64.994
hami,49,2,1.96,93.45,42.8,15.8,15.8
bagdarin,87,0,1.5,113.6,54.43,-10.426,-10.426
sao jose da coroa grande,75,89,5.18,-35.15,-8.9,81.248,81.248
miguel auza,49,61,4.42,-103.45,24.29,65.354,65.354
ciudad bolivar,56,90,6.04,-63.55,8.12,86.27,86.27
petukhovo,85,100,2.96,67.9,55.07,4.1,4.1
katsuura,54,0,2.6,140.3,35.13,38.552,41
whyalla,77,75,5.1,137.58,-33.03,60.8,60.8
plettenberg bay,83,92,10.02,23.37,-34.05,65.552,65.552
boa vista,41,40,6.2,-60.67,2.82,91.4,91.4
kaz,94,100,4.03,87.31,52.91,13.91,13.91
ancud,52,0,3.6,-73.82,-41.87,66.2,66.2
ibra,74,0,2.13,58.53,22.69,62.294,62.294
vaini,88,75,6.2,-175.2,-21.2,73.4,73.4
orocue,48,95,5.33,-71.34,4.79,90.248,90.248
asau,80,90,2.6,26.4,46.43,33.8,33.8
ardrishaig,81,100,4.1,-5.45,56.02,41.72,42.8
nahariyya,87,75,2.6,35.09,33.01,55.4,55.4
bandarbeyla,75,45,8.61,50.81,9.49,76.748,76.748
mar del plata,31,0,7.2,-57.56,-38,91.4,91.4
port lincoln,72,74,6.99,135.87,-34.73,61.07,61.07
cherskiy,97,100,3.18,161.3,68.75,-22.45,-22.45
lazaro cardenas,54,97,5.08,-102.2,17.96,85.712,85.712
kavaratti,81,37,5.97,72.64,10.57,81.068,81.068
hohhot,76,0,2,111.65,40.81,-7.6,-7.6
mount pleasant,51,20,5.1,-79.86,32.79,60.152,60.998
ullapool,80,100,4.92,-5.16,57.9,48.272,50
santa cruz,47,75,5.1,-63.17,-17.8,95,95
nanortalik,83,100,12.33,-45.24,60.14,24.044,24.044
tilichiki,94,100,1.4,166.1,60.47,-6.808,-6.808
the valley,69,40,7.2,-63.06,18.22,75.866,77
sovetskiy,99,19,1.1,63.58,61.36,-3.37,-3.37
bethel,44,75,5.7,-73.41,41.37,38.624,42.8
kaitangata,96,87,1.79,169.85,-46.28,60.314,64.994
lebu,43,0,4.91,-73.65,-37.62,67.244,67.244
broken hill,76,0,5.1,141.43,-31.95,57.2,57.2
brae,93,100,16.5,-1.35,60.4,48.2,48.2
chokwe,91,99,7.67,32.98,-24.53,72.572,72.572
qui nhon,93,14,1.4,109.23,13.77,62.042,62.042
magugu,89,100,1.19,35.77,-4.02,68.108,68.108
lar,87,0,3.15,83.97,26.2,51.89,51.89
egvekinot,96,100,4.21,-179.17,66.32,-13.936,-13.936
san quintin,52,100,3.75,-115.95,30.48,63.734,63.734
suez,64,80,1.94,32.53,29.97,55.886,55.886
provideniya,78,90,5,-173.3,64.38,17.6,17.6
arawa,77,66,1.76,155.54,-6.21,81.14,81.14
umea,100,100,0.5,20.26,63.83,19.4,19.4
ornes,69,75,9.8,13.71,66.87,38.624,39.2
aktash,96,100,1.92,87.73,50.3,5.648,5.648
pafos,87,40,3.1,32.42,34.77,50.684,51.8
ambanja,86,100,0.42,48.45,-13.68,78.512,78.512
gornopravdinsk,94,12,3.13,69.9,60.05,-7.312,-7.312
haimen,67,58,1,116.61,23.19,57.2,57.2
magadan,86,0,2.63,150.8,59.57,-6.754,-6.754
banda aceh,91,19,2.6,95.32,5.56,73.454,73.454
aykhal,91,18,3,111.5,66,-13,-13
obanazawa,98,93,4,140.4,38.6,32.594,32.594
constitucion,66,100,2.19,-72.42,-35.33,65.93,65.93
kresttsy,89,88,4.41,32.52,58.25,36.41,36.41
bakchar,96,94,2.91,82.07,57.02,-10.264,-10.264
atambua,90,45,0.55,124.89,-9.11,75.416,75.416
codrington,89,100,11.73,141.97,-38.27,59.99,59.99
jonkoping,100,25,3.1,14.16,57.78,30.92,32
kaabong,32,13,1.65,34.15,3.48,71.996,71.996
severo-kurilsk,85,0,2.39,156.12,50.68,10.364,10.364
dauriya,94,78,3.81,116.87,49.93,-6.484,-6.484
mayskiy,85,20,3,40.1,47.69,24.8,24.8
ko samui,80,22,7.43,99.94,9.54,81.266,81.266
markova,80,90,1.03,24.41,48.68,30.2,30.2
bac lieu,80,0,3.14,105.72,9.29,73.094,73.094
kahului,69,40,8.2,-156.47,20.89,71.528,75.2
barahona,66,75,9.3,-71.1,18.21,84.2,84.2
klaksvik,93,100,6.7,-6.59,62.23,48.2,48.2
hobyo,76,22,7.79,48.53,5.35,75.956,75.956
bubaque,65,81,6.42,-15.83,11.28,78.116,78.116
arlit,18,0,2.94,7.39,18.74,64.058,64.058
gazanjyk,95,99,1.66,55.52,39.24,32.936,32.936
bengkulu,92,100,1.64,102.27,-3.8,73.004,73.004
ustyuzhna,86,100,5.33,36.43,58.84,37.166,37.166
pangnirtung,68,40,2.1,-65.71,66.15,-18.4,-18.4
athabasca,93,100,4.76,-113.29,54.72,-1.84,-1.84
marsa matruh,81,75,4.1,27.25,31.35,53.6,53.6
teya,88,100,4.69,92.63,60.38,-3.478,-3.478
dustlik,83,96,0.75,68.04,40.52,36.086,36.086
kragujevac,91,90,0.96,20.92,44.02,32,32
fairbanks,66,27,0.83,-147.72,64.84,-26.392,-13
tsnori,93,90,2.1,45.97,41.62,35.6,35.6
cerinza,75,100,0.22,-72.95,5.96,59.666,59.666
sechura,88,25,7.58,-80.82,-5.56,69.98,69.98
college,66,0,0.58,-147.8,64.86,-29.488,-27.004
pasighat,94,93,2.34,95.33,28.07,57.218,57.218
arkhipo-osipovka,85,0,2.81,38.52,44.37,26.798,26.798
port moresby,82,57,5.21,147.18,-9.44,80.024,80.024
atbasar,80,100,1.99,68.33,51.8,4.424,4.424
huarmey,53,0,4.41,-78.15,-10.07,81.068,81.068
lluta,72,90,2.6,-72.01,-16.01,64.4,64.4
luwuk,78,100,3.42,122.79,-0.95,80.888,80.888
richards bay,78,78,11.5,32.04,-28.78,74.678,74.678
nuuk,85,100,6.7,-51.72,64.18,15.8,15.8
tatarbunary,84,81,3.99,29.61,45.84,28.796,28.796
adrar,18,0,3.69,-10.07,20.5,63.932,63.932
nemuro,74,100,4.9,145.57,43.32,29.516,29.516
sergeyevka,82,100,2.69,67.42,53.88,6.566,6.566
ayagoz,97,100,0.62,80.44,47.97,15.116,15.116
rio gallegos,25,75,16.5,-69.22,-51.62,62.6,62.6
saskylakh,99,98,1.09,114.08,71.92,-23.638,-23.638
ferrol,61,20,6.2,-8.24,43.48,45.86,51.008
labe,25,100,1.04,-12.28,11.32,70.16,70.16
iqaluit,70,40,3.1,-68.51,63.75,-5.8,-5.8
camana,82,100,3.33,-72.71,-16.62,68.468,68.468
erbaa,81,90,1,36.57,40.67,42.8,42.8
yokadouma,37,65,0.79,15.05,3.52,70.754,70.754
qingdao,79,0,1,120.37,36.1,30.344,37.004
cabo san lucas,60,5,3.6,-109.91,22.89,77.648,82.004
thompson,70,20,4.6,-97.86,55.74,1.4,1.4
grand gaube,88,40,1.5,57.66,-20.01,80.798,80.996
pisco,30,75,7.7,-76.22,-13.7,72.194,73.004
kerema,89,70,1.38,145.78,-7.96,74.354,74.354
ayan,74,0,3.23,138.17,56.45,-4.684,-4.684
thinadhoo,79,100,4.56,72.93,0.53,82.328,82.328
manyana,27,0,3.74,21.72,-23.4,77.702,77.702
narsaq,43,36,2.6,-46.05,60.92,14,14
maceio,65,20,6.2,-35.74,-9.67,82.4,82.4
kyrksaeterora,75,75,5.1,9.09,63.29,39.488,42.8
esmeraldas,94,75,2.6,-44.31,-19.76,74.75,75.2
baykit,98,100,0.45,96.37,61.67,-2.506,-2.506
husavik,49,40,20.6,-17.34,66.04,46.4,46.4
port elizabeth,68,90,8.2,25.57,-33.92,66.2,66.2
afua,88,96,4.73,-50.39,-0.16,79.682,79.682
sao filipe,77,0,5.18,-24.5,14.9,70.502,70.502
natal,66,20,7.2,-35.21,-5.79,84.2,84.2
talcahuano,63,100,5.1,-73.12,-36.72,66.2,66.2
malanje,94,43,2.07,16.34,-9.54,64.004,64.004
qaqortoq,43,75,2.6,-46.03,60.72,14,14
pimentel,29,13,9.8,-79.93,-6.84,66.2,66.2
businga,53,100,0.69,20.88,3.33,76.406,76.406
forio,57,40,2.6,13.86,40.73,49.388,51.998
hillsboro,71,40,2.6,-122.99,45.52,49.874,55.004
kavieng,74,64,9.3,150.8,-2.57,83.93,83.93
tungor,99,5,2.9,142.96,53.38,-6.646,-6.646
inhambane,94,75,1.5,35.38,-23.86,78.8,78.8
luanda,74,20,3.1,13.23,-8.84,82.4,82.4
mizdah,59,96,4.54,12.98,31.45,49.01,49.01
matamoros,56,75,4.63,-103.25,25.53,67.496,68
vao,69,9,7.23,167.48,-22.67,75.488,75.488
great falls,52,1,8.7,-111.3,47.5,43.322,44.996
vila velha,69,75,6.7,-40.29,-20.33,79.25,80.006
matucana,87,91,2.68,-76.4,-11.85,58.406,58.406
panan,83,20,1.5,120.03,15.21,74.318,75.2
tecoanapa,42,44,4.22,-98.75,16.52,92.696,92.696
shingu,66,0,3.49,135.98,33.73,46.544,46.544
platanos,80,20,3.05,21.62,37.67,46.148,51.8
pevek,96,100,2.95,170.31,69.7,-1.156,-1.156
joensuu,92,90,5.1,29.75,62.58,29.624,30.992
arman,93,43,3.95,150.17,59.7,-3.352,-3.352
kirensk,98,87,1.97,108.11,57.79,-12.586,-12.586
majene,89,100,1.78,118.97,-3.54,75.722,75.722
victoria,67,40,2.6,114.16,22.29,58.982,60.8
shache,65,100,0.72,77.24,38.42,20.804,20.804
auburn,100,90,2.04,-122.23,47.31,48.11,51.998
sydney,94,20,4.1,151.21,-33.87,69.152,71.996
gizo,80,52,1.05,156.84,-8.1,79.142,79.142
hay river,83,75,4.6,-115.8,60.82,-4,-4
dingle,95,81,4.55,122.67,11,73.22,73.22
buin,41,75,1,-70.75,-33.73,79.502,82.004
jiazi,59,66,2.29,116.07,22.88,53.258,53.258
longyearbyen,79,90,11.8,15.64,78.22,26.6,26.6
dali,85,1,0.99,100.18,25.7,32.828,32.828
quatre cocos,88,40,1.5,57.76,-20.21,80.78,80.996
ternate,94,89,1.29,127.4,0.8,71.456,71.456
high rock,61,40,7.2,-78.28,26.62,78.8,78.8
raduzhnyy,96,100,5.1,77.47,62.1,-9.544,-9.544
portland,70,40,4.6,-122.68,45.52,49.748,53.996
floro,87,75,11.8,5.03,61.6,38.444,42.998
burpengary,83,20,6.7,152.96,-27.16,77.72,80.996
kismayo,79,100,9.06,42.55,-0.36,80.834,80.834
karpathos,54,93,8.7,27.21,35.51,53.6,53.6
krasnogorodsk,92,7,4.91,28.28,56.83,35.15,35.15
riberalta,59,75,3.1,-66.1,-10.98,91.4,91.4
conakry,74,40,3.1,-13.68,9.54,82.4,82.4
presidencia roque saenz pena,35,38,3.93,-60.44,-26.79,100.832,100.832
key largo,69,20,3.1,-80.45,25.09,78.98,82.004
saldanha,56,86,4.1,17.94,-33.01,71.6,71.6
hofn,75,35,17.87,-15.21,64.25,45.446,45.446
paramonga,88,52,4.72,-77.83,-10.67,69.962,69.962
vagur,92,100,15.51,-6.81,61.47,48.542,48.542
sola,79,42,5.39,167.55,-13.88,81.968,81.968
palmer,59,40,7.7,-72.33,42.16,36.752,41
tiksi,85,100,3.83,128.87,71.69,-3.118,-3.118
deputatskiy,82,0,1.79,139.9,69.3,-24.034,-24.034
porto santo,72,40,5.1,-16.34,33.07,61.574,62.6
izumo,70,75,2.6,132.77,35.37,44.6,44.6
dawlatabad,93,90,3.33,64.91,36.41,37.292,37.292
kerewan,50,0,2.1,-16.09,13.49,75.2,75.2
worland,47,1,1.5,-107.96,44.02,36.356,39.992
bakhtiyarpur,93,0,1.5,85.52,25.47,51.8,51.8
kenai,76,1,4.16,-151.26,60.55,-8.14,-0.004
paamiut,92,100,3.31,-49.67,61.99,13.568,13.568
terrace,85,90,1.35,-128.6,54.52,20.444,21.992
esperance,82,0,3.1,121.9,-33.87,55.4,55.4
haines junction,96,82,0.97,-137.51,60.75,-3.37,-3.37
turkmenabat,56,100,2.1,63.58,39.07,32,32
ballarat,94,100,3.52,143.85,-37.57,61.808,64.004
nhulunbuy,79,0,5.1,136.77,-12.23,84.2,84.2
tsevie,79,20,2.6,1.21,6.43,84.2,84.2
rocha,39,9,5.38,-54.33,-34.48,86.396,86.396
awbari,39,0,4.03,12.78,26.59,52.106,52.106
kalmunai,79,10,8.28,81.82,7.42,81.248,81.248
port hedland,94,40,1.5,118.57,-20.32,77,77
neusiedl am see,97,90,5.7,16.83,47.94,34.844,37.004
karratha,76,67,3.79,116.85,-20.74,85.028,85.028
hambantota,80,29,9.94,81.12,6.12,80.204,80.204
otukpo,25,0,1.43,8.13,7.19,80.24,80.24
eydhafushi,78,81,7.59,73.07,5.1,82.544,82.544
puerto del rosario,82,75,6.7,-13.86,28.5,66.2,66.2
lata,62,0,4.1,-8.33,40.16,50.396,55.004
teberda,36,0,3.12,41.74,43.45,9.518,9.518
praia da vitoria,77,75,9.1,-27.07,38.73,64.4,64.4
olafsvik,69,100,15,-23.71,64.89,38.732,38.732
santa maria,55,40,3.6,-53.81,-29.68,91.4,91.4
manicaragua,61,75,5.7,-79.97,22.15,85.046,87.8
forbes,78,7,4.85,148.02,-33.38,71.996,71.996
laguna de duero,69,20,13.9,-4.72,41.58,35.096,35.996
yar-sale,99,76,4.02,70.83,66.83,-10.588,-10.588
hokitika,87,90,0.22,170.97,-42.72,61.574,61.574
alta floresta,78,75,1,-56.09,-9.88,80.6,80.6
kitimat,85,90,1.76,-128.65,54.05,20.732,21.992
lerwick,87,100,16.5,-1.15,60.15,48.2,48.2
ekibastuz,93,78,3.83,75.37,51.67,0.446,0.446
mildura,93,18,4.1,142.15,-34.2,59,59
saint-jovite,78,75,2.6,-74.6,46.12,15.8,15.8
cuamba,96,100,1.34,36.54,-14.8,71.438,71.438
fare,78,100,5.11,-151.02,-16.7,81.356,81.356
norman wells,69,20,1,-126.83,65.28,-13,-13
talcher,59,0,1.73,85.22,20.95,64.796,64.796
atar,18,0,4.1,-13.05,20.52,66.902,66.902
altea,66,75,9.8,-0.05,38.6,48.47,51.008
storm lake,71,1,4.6,-95.21,42.64,1.31,3.2
maua,73,40,5.7,-46.46,-23.67,76.046,80.996
byron bay,88,7,3.6,153.62,-28.65,75.146,78.008
dutlwe,32,39,3.73,23.9,-23.98,81.896,81.896
ranau,88,75,1.5,116.66,5.95,76.658,77
scottsboro,35,1,6.2,-86.03,34.67,41.414,44.006
andros town,57,40,5.7,-77.77,24.7,78.89,78.998
bhuban,71,0,2.55,85.83,20.88,65.228,65.228
sinjar,78,90,3.5,41.88,36.32,45.302,45.302
buala,78,84,2.7,159.59,-8.14,81.41,81.41
kankon,83,20,1.5,74.02,15.02,77,77
laurel,47,90,6.7,-76.85,39.1,36.212,39.992
aklavik,73,5,3.1,-135.01,68.22,-25.366,-20.2
maglie,86,5,3.41,18.3,40.12,45.374,51.8
khasan,77,35,3.86,130.64,42.43,13.91,13.91
cayenne,74,75,5.1,-52.33,4.93,82.4,82.4
kungurtug,89,100,1.45,97.52,50.6,5.198,5.198
fort nelson,68,75,1,-122.7,58.81,-14.8,-14.8
owatonna,84,90,5.1,-93.23,44.08,6.458,12.002
port hardy,87,90,9.3,-127.42,50.7,46.4,46.4
emba,95,0,1.49,58.14,48.83,9.914,9.914
laguna,93,90,1.33,-121.42,38.42,47.66,57.002
gwadar,53,20,2.17,62.33,25.12,70.07,70.07
sao joao da barra,65,75,9.3,-41.05,-21.64,79.736,80.6
saint-francois,80,3,3.6,3.91,46.42,35.006,37.004
buluang,89,55,4.69,123.34,13.31,71.636,71.636
massaguet,25,0,3.1,15.44,12.48,73.4,73.4
kuryk,66,100,3.88,51.65,43.2,35.042,35.042
frederikshavn,93,41,3.8,10.54,57.44,33.998,33.998
soyo,79,75,2.6,12.37,-6.13,84.2,84.2
ketchikan,86,90,11.8,-131.65,55.34,41.81,44.6
denpasar,88,20,3.1,115.22,-8.65,80.6,80.6
uarini,83,75,1,-65.11,-2.99,84.2,84.2
portree,93,100,11.62,-6.19,57.41,46.004,46.004
sakakah,66,0,0.48,40.21,29.97,48.2,48.2
yarim,31,0,0.55,44.38,14.3,52.844,52.844
ulaanbaatar,67,0,2.49,106.88,47.91,-22,-22
carnarvon,78,0,8.7,113.63,-24.87,77,77
necochea,37,0,4.47,-58.74,-38.55,93.002,93.002
nyimba,95,100,2.02,30.81,-14.56,69.098,69.098
mangochi,93,100,2.17,35.26,-14.48,70.106,70.106
abnub,57,0,6.2,31.15,27.27,51.8,51.8
bondoukou,23,1,0.94,-2.8,8.03,76.262,76.262
rio cuarto,55,20,9.8,-64.35,-33.13,89.6,89.6
trairi,78,100,1.73,-39.27,-3.28,76.82,76.82
lysva,97,100,1.32,57.81,58.11,24.818,24.818
geraldton,77,0,9.3,114.6,-28.77,69.8,69.8
hailakandi,86,0,0.38,92.57,24.68,58.118,58.118
hooksett,51,75,4.6,-71.47,43.1,36.302,39.992
zonguldak,91,56,1.07,31.83,41.25,28.094,28.094
salima,85,100,3.51,34.46,-13.78,74.606,74.606
komsomolskiy,68,100,3.1,71.72,40.43,30.974,32
rockhampton,83,40,1.5,150.5,-23.38,78.8,78.8
salinas,66,1,2.81,-121.66,36.68,55.868,60.008
amapa,95,60,1.09,-52,1,78.188,78.188
platteville,78,90,5.7,-90.48,42.73,14.342,17.996
gobabis,20,34,7.49,18.97,-22.45,78.404,78.404
plover,72,75,3.1,-89.54,44.46,20.156,24.8
sambava,99,100,0.85,50.17,-14.27,74.21,74.21
koroni,81,20,1.5,21.95,36.8,47.66,51.008
aranda de duero,63,0,7.46,-3.69,41.67,28.778,28.778
flinders,100,20,1,150.86,-34.58,68.612,71.006
imeni poliny osipenko,100,100,0.94,136.49,52.42,-14.512,-14.512
tuatapere,98,100,0.45,167.68,-46.13,55.994,55.994
